instance_id,variables,clauses
SAT_Competition2011/SAT02/handmade/pehoushek/twentyvars/7cnf20_90000_90000_7.shuffled.cnf,20,1532
SAT_Competition2009/CRAFTED/parity-games/instance_n2_i2_pp.cnf,27,53
SAT_Competition2009/CRAFTED/ramseycube/Q3inK08.cnf,28,1680
SAT_Competition2011/SAT02/handmade/pehoushek/plainoldcnf/5cnf_3500_3500_30f1.shuffled.cnf,30,420
SAT_Competition2009/CRAFTED/ramseycube/Q32inK09.cnf,36,7938
SAT_Competition2009/CRAFTED/ramseycube/Q3inK09.cnf,36,15120
SAT_Competition2009/CRAFTED/parity-games/instance_n2_i3_pp.cnf,39,80
SAT_Competition2011/SAT11/crafted/skvortsov/battleship/battleship-5-8-unsat.cnf,40,105
SAT_Competition2011/SAT03/handmade/bevan/cnf/marg3x3add8ch.shuffled-as.sat03-1448.cnf,41,272
SAT_Competition2011/SAT03/handmade/bevan/cnf/marg3x3add8.shuffled-as.sat03-1449.cnf,41,224
SAT_Competition2009/CRAFTED/ramseycube/Q32inK10.cnf,45,38430
SAT_Competition2009/CRAFTED/ramseycube/Q3inK10.cnf,45,75600
SAT_Competition2011/SAT09/CRAFTED/ramseycube/Q3inK10.cnf,45,75600
SAT_Competition2011/SAT11/crafted/skvortsov/battleship/battleship-6-9-unsat.cnf,54,171
SAT_Competition2009/CRAFTED/ramseycube/Q3inK11.cnf,55,277200
SAT_Competition2009/CRAFTED/ramseycube/Q32inK11.cnf,55,139590
SAT_Competition2007/crafted/spence/medium/s57-100.cnf,57,124
SAT_Competition2011/SAT02/handmade/pehoushek/plainoldcnf/5cnf_3900_3900_060.shuffled.cnf,60,936
SAT_Competition2007/crafted/spence/medium/s61-100.cnf,61,132
SAT_Competition2009/CRAFTED/sgen/unsat/sgen1-unsat-61-100.cnf,61,132
SAT_Competition2007/crafted/spence/medium/s65-100.cnf,65,140
SAT_Competition2009/CRAFTED/ramseycube/Q3inK12.cnf,66,831600
SAT_Competition2007/crafted/spence/medium/s69-100.cnf,69,148
SAT_Competition2007/crafted/spence/medium/s73-100.cnf,73,156
SAT_Competition2009/CRAFTED/sgen/unsat/sgen1-unsat-73-100.cnf,73,156
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_70_15_90_1-log.shuffled-as.sat03-137.cnf,75,25452
SAT_Competition2007/crafted/spence/medium/s77-100.cnf,77,164
SAT_Competition2009/CRAFTED/ramseycube/Q3inK13.cnf,78,2162160
SAT_Competition2011/SAT05/crafted/sabharwal05/counting/php/unsat/easier/php-010-008.shuffled-as.sat05-1171.cnf,80,370
SAT_Competition2007/crafted/spence/medium/s81-100.cnf,81,172
SAT_Competition2011/SAT11/crafted/skvortsov/battleship/battleship-7-12-unsat.cnf,84,301
SAT_Competition2007/crafted/spence/medium/s85-100.cnf,85,180
SAT_Competition2009/CRAFTED/sgen/unsat/sgen1-unsat-85-100.cnf,85,180
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,85,29282
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-12.sat05-2587.reshuffled-07.cnf,87,232
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-14.sat05-2589.reshuffled-07.cnf,87,232
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-12.sat05-2587.reshuffled-07.cnf,87,232
SAT_Competition2009/CRAFTED/Medium/contest05/jarvisalo/mod2-3cage-unsat-9-14.sat05-2589.reshuffled-07.cnf,87,232
SAT_Competition2007/crafted/spence/medium/s89-100.cnf,89,188
SAT_Competition2011/SAT11/crafted/skvortsov/battleship/battleship-7-13-sat.cnf,91,322
SAT_Competition2007/crafted/spence/medium/s93-100.cnf,93,196
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_70_19_80_8-log.shuffled-as.sat03-143.cnf,95,36888
SAT_Competition2007/crafted/spence/hard/s97-100.cnf,97,204
SAT_Competition2009/CRAFTED/sgen/unsat/sgen1-unsat-97-100.cnf,97,204
SAT_Competition2011/SAT02/handmade/chu-min-li/urquhart/urquhart3_25bis.shuffled.cnf,99,264
