instance_id,nvarsOrig,nclausesOrig,nvars,nclauses,reducedVars,reducedClauses,Pre-featuretime,vars-clauses-ratio,POSNEG-RATIO-CLAUSE-mean,POSNEG-RATIO-CLAUSE-coeff-variation,POSNEG-RATIO-CLAUSE-min,POSNEG-RATIO-CLAUSE-max,POSNEG-RATIO-CLAUSE-entropy,VCG-CLAUSE-mean,VCG-CLAUSE-coeff-variation,VCG-CLAUSE-min,VCG-CLAUSE-max,VCG-CLAUSE-entropy,UNARY,BINARY+,TRINARY+,Basic-featuretime,VCG-VAR-mean,VCG-VAR-coeff-variation,VCG-VAR-min,VCG-VAR-max,VCG-VAR-entropy,POSNEG-RATIO-VAR-mean,POSNEG-RATIO-VAR-stdev,POSNEG-RATIO-VAR-min,POSNEG-RATIO-VAR-max,POSNEG-RATIO-VAR-entropy,HORNY-VAR-mean,HORNY-VAR-coeff-variation,HORNY-VAR-min,HORNY-VAR-max,HORNY-VAR-entropy,horn-clauses-fraction,VG-mean,VG-coeff-variation,VG-min,VG-max,KLB-featuretime,CG-mean,CG-coeff-variation,CG-min,CG-max,CG-entropy,cluster-coeff-mean,cluster-coeff-coeff-variation,cluster-coeff-min,cluster-coeff-max,cluster-coeff-entropy,CG-featuretime
SAT-Race-2010-CNF/mixed/bioinf/rpoc_xits_08_UNSAT.cnf,1278.0,74789.0,763.0,73888.0,0.674967235,0.012194132,0.26,0.01032644,0.49853381700000005,0.5763339510000001,0.0,1.0,0.7616088520000001,0.0056626919999999996,0.9737593859999999,0.0026212320000000002,0.031454784,0.578911889,0.0,0.025565721,0.890875379,-0.0,0.0056626919999999996,1.139251571,9.473799999999999e-05,0.018785188,4.125532939,0.291899795,0.27828625100000004,0.0,0.9303482590000001,2.65425362,0.00346928,0.90543768,8.120399999999999e-05,0.009527934,3.9608920089999997,0.890875379,0.002224861,0.894172986,8.120399999999999e-05,0.006076765,0.02,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,21.3
SAT-Race-2010-CNF/mixed/grieu/vmpc_27.cnf,729.0,96849.0,729.0,96849.0,0.0,0.0,0.1,0.007527181,0.594368553,0.548189255,0.0,1.0,0.675968032,0.0035955170000000003,0.28800395,0.002743484,0.037037037,0.674200729,0.0,0.392249791,0.999442431,-0.0,0.0035955170000000003,0.004834426,0.003500294,0.003603548,0.704899937,0.524574584,0.0017789420000000002,0.51884058,0.533923304,0.02082387,0.003574866,0.004862353,0.003479644,0.0035828970000000003,0.704899937,0.999442431,0.001983827,0.082114027,0.001063511,0.002054745,-0.0,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,20.54
SAT-Race-2010-CNF/mixed/grieu/vmpc_28.cnf,784.0,108080.0,784.0,108080.0,0.0,0.0,0.1,0.007253886,0.594559585,0.548033431,0.0,1.0,0.675688576,0.003342432,0.28868483300000003,0.00255102,0.035714286,0.6740271,0.0,0.39248704700000003,0.999481865,-0.0,0.003342432,0.004520757,0.0032846040000000004,0.003349371,0.684921681,0.525066412,0.001684131,0.519553073,0.529411765,0.017780575,0.003323927,0.004545924000000001,0.003266099,0.0033308659999999996,0.684921681,0.999481865,0.001866673,0.075119924,0.00146188,0.0019152479999999998,0.02,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,20.6
SAT-Race-2010-CNF/mixed/grieu/vmpc_31.cnf,961.0,146909.0,961.0,146909.0,0.0,0.0,0.12,0.006541464,0.5950622489999999,0.547632859,0.0,1.0,0.6750110709999999,0.00272497,0.290471812,0.002081165,0.032258065,0.6736141240000001,0.0,0.39312091200000004,0.99957797,0.02,0.00272497,0.003985258,0.002661512,0.0027295809999999996,0.646101803,0.526353199,0.0014676370000000002,0.521410579,0.534526854,0.303763946,0.002711356,0.004005268,0.002647898,0.002715967,0.646101803,0.99957797,0.0015246679999999999,0.077632088,0.000810025,0.001572402,0.0,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,20.48
SAT-Race-2010-CNF/mixed/jarvisalo/eq.atree.braun.12.unsat.cnf,1694.0,5726.0,1165.0,4834.0,0.45407725299999996,0.184526272,0.0,0.241001241,0.34483105799999997,0.8348755370000001,0.0,1.0,1.195111722,0.002553799,0.381114386,0.001716738,0.021459227,0.951080371,0.0,0.21700455100000002,0.8775341329999999,0.0,0.002553799,0.299135881,0.001448076,0.0051717,2.4286993669999997,0.07756990700000001,0.090055665,0.0,0.5,2.047521176,0.0011222369999999999,0.594823919,0.000413736,0.004964832,1.974444376,0.500413736,0.0018644760000000001,0.595635296,0.00103434,0.007240381,0.0,0.003403608,0.40138618299999995,0.00103434,0.029582127000000003,2.8826314760000002,0.27069701,0.340482167,0.014957265,0.566176471,3.467714964,0.04
SAT-Race-2010-CNF/software-verification/bitverif/countbitsarray02_32.cnf,4252.0,12563.0,2111.0,9499.0,1.014211274,0.32256027,0.04,0.22223391899999997,0.360333984,0.91242023,0.0,1.0,1.3727541419999998,0.0014400779999999998,0.42264034899999997,0.000947418,0.012790147,1.145150659,0.0,0.34119381,0.679545215,-0.0,0.0014400779999999998,0.19689502399999997,0.000842194,0.0069481,1.807341604,0.064955779,0.084016866,0.0,0.8,1.70690716,0.000541831,0.31567378,0.000105274,0.004000421,1.47019289,0.49426255399999997,0.001101614,0.45310491,0.000526371,0.007053374,-0.0,0.001733085,0.42923768,0.000526371,0.01589641,2.7034042310000004,0.15472946699999998,0.32889863,0.034681074,0.628571429,2.553964304,0.1
SAT-Race-2010-CNF/software-verification/fuhs/AProVE07-08.cnf,4614.0,16637.0,2513.0,12797.0,0.836052527,0.30007032899999997,0.04,0.19637415,0.365161458,0.759471386,0.0,1.0,1.47663533,0.001258129,0.440558247,0.0007958619999999999,0.030242737999999998,1.230409012,0.0,0.2267719,0.696491365,-0.0,0.001258129,1.046880685,0.0006251469999999999,0.028131592999999996,2.6261555640000003,0.09324776900000001,0.114552705,0.0,0.636363636,2.249218183,0.00065873,1.4784112530000002,0.00015628700000000002,0.024380713999999998,2.341088561,0.558021411,0.0008746580000000001,1.474800811,0.00039071699999999995,0.020004689,-0.0,0.0037554470000000003,1.399501277,0.000312573,0.048526999,4.32314098,0.251916436,0.520525824,0.005873368,0.606060606,3.8035429780000003,1.78
SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest02-Mat26.sat05-457.reshuffled-07.cnf,744.0,2464.0,360.0,2208.0,1.066666667,0.115942029,0.0,0.16304347800000002,0.454438406,0.72554455,0.0,1.0,1.4994146780000002,0.009380032,0.214506421,0.005555556,0.013888889,1.089088992,0.0,0.086956522,0.594202899,0.0,0.009380032,0.9000579190000001,0.003623188,0.043478261,1.6885622040000001,0.034966428,0.029115127999999997,0.0,0.066666667,1.257623463,0.003916314000000001,0.817731564,0.000905797,0.019021739,2.516750586,0.441576087,0.005334138,0.886330671,0.0027173909999999996,0.022192029,0.0,0.024522158999999998,0.53091594,0.005434783,0.046648550999999996,2.575381037,0.23285960100000003,0.385793531,0.10588235300000001,0.406196213,2.514104159,0.24
SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest02-ezfact64_10.sat05-449.reshuffled-07.cnf,3073.0,19785.0,2844.0,17759.0,0.08052039400000001,0.114083,0.04,0.16014415199999998,0.399480076,0.8417867179999999,0.0,1.0,1.281238399,0.001318323,0.140953902,0.000703235,0.0017580870000000002,0.618508109,0.0,0.045498057,0.205416972,-0.0,0.001318323,0.5437316529999999,0.000450476,0.007094994,1.267668245,0.02556756,0.045312186,0.0,0.272727273,0.720228207,0.000459584,0.909297059,0.000112619,0.003829044,2.2079415609999997,0.364378625,0.00041475800000000004,0.920821366,0.000168928,0.003547497,-0.0,0.002545224,0.7109835990000001,0.00033785699999999995,0.007263923,1.883621601,0.380968032,0.42227641,0.039225806,0.636363636,1.633929665,1.36
SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_1-dir.sat05-439.reshuffled-07.cnf,900.0,69990.0,870.0,69090.0,0.034482759,0.013026487,0.38,0.012592271,0.487428718,1.016659358,0.0,1.0,0.8872116790000001,0.003625756,1.995275605,0.002298851,0.066666667,0.186950557,0.0,0.96417716,0.96417716,0.02,0.003625756,0.19726009600000002,0.002142133,0.005919815,4.812545376,0.239252582,0.0613711,0.123028391,0.404761905,3.0960246060000003,0.0016706179999999998,0.408091104,0.000521059,0.0038500509999999997,4.637733803,0.726718773,0.012577797,0.0,0.012577797,0.012577797,0.02,-1.0,-0.0,-1.0,0.0,-512.0,-1.0,-0.0,-1.0,0.0,-0.0,20.02
