instance_id,ebglucose,ebminisat,glucose2,glueminisat,lingeling,lrglshr,minisatpsm,mphaseSAT64,precosat,qutersat,rcl,restartsat,cryptominisat2011,spear-sw,spear-hw,eagleup,sparrow,marchrw,mphaseSATm,satime11,tnm,mxc09,gnoveltyp2,sattime,sattimep,clasp2,clasp1,picosat,mphaseSAT,sapperlot,sol
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_80_17_90_7-log.shuffled-as.sat03-190.cnf,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
SAT_Competition2009/CRAFTED/Hard/contest05/phnf/phnf-size10-exclusive-philo.used-as.sat04-988.sat05-4195.reshuffled-07.cnf,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
SAT_Competition2009/CRAFTED/edgematching/all/em_7_4_8_all.cnf,71.69,264.99,45.89,174.07,1010.96,594.68,719.54,76.87,36.0,127.34,180.2,85.07,19.59,1200.0,27.48,1200.0,833.3,1200.0,27.52,87.57,1179.1,163.6,1200.0,117.42,998.09,7.11,16.8,0.02,27.79,67.31,155.62
SAT_Competition2009/CRAFTED/Difficult/contest05/QG/QG6-gensys-icl001.sat05-2695.reshuffled-07.cnf,100.92,75.2,67.68,23.11,151.4,99.89,746.98,57.28,24.15,31.86,797.99,43.13,14.58,1200.0,1200.0,1200.0,1200.0,1200.0,75.42,1200.0,1200.0,82.36,1200.0,1200.0,1200.0,26.14,20.14,970.9,56.37,311.85,153.9
SAT_Competition2011/SAT03/handmade/anton/UNSAT/SGI_30_70_26_40_6-dir.shuffled-as.sat03-163.cnf,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
SAT_Competition2007/crafted/spence/medium/s93-100.cnf,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,731.72,1200.0,1200.0,1200.0,456.16,359.25,452.61,1200.0,1200.0,1200.0
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v945c61409g4.cnf,1200.0,1200.0,917.6,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,132.96,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,39.64,773.69,1200.0,67.84,5.03,1200.0,1200.0,83.65,302.92,596.86,1200.0,1200.0,1200.0,1200.0,1200.0
SAT_Competition2009/CRAFTED/edgematching/compact/em_9_3_5_cmp.cnf,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,44.3,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,81.45,759.32,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,64.81,1200.0,1200.0
SAT_Competition2007/crafted/Difficult/contest-02-03-04/contest03-SGI_30_50_30_20_1-dir.sat05-439.reshuffled-07.cnf,828.51,1200.0,259.04,620.9,1200.0,977.32,353.36,693.22,673.39,192.73,270.6,1200.0,217.12,1200.0,269.45,1200.0,1200.0,1200.0,700.88,1200.0,1200.0,491.86,1200.0,1200.0,1200.0,68.68,84.14,1200.0,665.89,1021.34,240.11
SAT_Competition2011/SAT11/crafted/kullmann/GreenTao/GreenTaok1k2/GreenTao_2-3-5_527.cnf,354.29,77.25,247.39,211.36,290.62,1200.0,91.41,9.33,518.12,135.31,1200.0,254.1,34.4,1200.0,78.1,1200.0,0.22,228.4,70.4,0.11,0.13,611.55,0.14,0.22,0.59,20.93,166.86,287.63,54.81,41.92,1200.0
SAT_Competition2011/SAT09/CRAFTED/rbsat/random/unforced/rbsat-v2100c215164g9.cnf,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
SAT_Competition2011/SAT11/crafted/spence/sgen/sgen3-n220-s24359701-sat.cnf,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,27.96,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,4.2,1200.0,189.27,35.02,213.64,1200.0,0.14,50.2,4.82,1200.0,1200.0,1200.0,27.99,1200.0,1200.0
SAT_Competition2009/CRAFTED/edgematching/all/em_14_7_3_all.cnf,17.18,3.33,18.32,6.93,17.68,68.46,19.38,4.35,14.69,18.26,16.34,11.24,11.74,9.34,3.74,1200.0,596.02,1200.0,13.92,17.16,21.38,9.5,1200.0,17.03,20.66,3.89,89.43,7.18,13.99,10.45,432.36
SAT_Competition2011/SAT11/crafted/mosoi/289/289-sat-6x20.cnf,0.29,0.07,0.28,0.07,0.26,0.08,0.13,0.41,0.06,0.23,0.14,0.07,0.07,0.01,0.04,0.02,0.01,0.19,0.27,0.09,0.1,0.1,0.02,0.09,0.09,0.1,0.14,0.0,0.27,0.02,2.5
SAT_Competition2007/crafted/Hard/contest05/counting-clq/unsat-set-a-clqcolor-30-19-20.sat05-1256.reshuffled-07.cnf,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
SAT_Competition2007/crafted/Medium/contest05/jarvisalo/mod2-rand3bip-sat-210-1.sat05-2158.reshuffled-07.cnf,429.35,11.87,788.35,302.5,38.96,34.36,140.15,0.0,55.73,398.97,44.68,60.01,374.61,144.2,85.76,1200.0,1200.0,0.01,0.0,1200.0,1200.0,10.61,1200.0,1200.0,1200.0,11.42,50.79,84.4,0.0,7.69,1200.0
SAT_Competition2009/CRAFTED/Difficult/contest05/jarvisalo/mod2c-rand3bip-unsat-120-3.sat05-2340.reshuffled-07.cnf,29.14,289.47,10.01,12.67,1200.0,1200.0,136.86,1200.0,85.25,1200.0,80.16,898.48,1200.0,1011.59,1200.0,1200.0,1200.0,1200.0,66.24,1200.0,1200.0,50.01,1200.0,1200.0,1200.0,85.7,264.18,61.65,60.02,1200.0,104.34
SAT_Competition2011/SAT09/CRAFTED/rbsat/crafted/unforced/rbsat-v760c43649g2.cnf,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1197.67,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0,1200.0
